Unnamed: 0,Player,Span,Mat,Inns,Balls,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Unnamed: 13
41,AC Voges (AUS),2007-2013,31,15.0,301.0,276.0,6.0,1/3,46.0,5.5,50.1,0.0,0.0,0.0
39,AC Waller (ZIM),1987-1997,39,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0
19,ACI Lock (ZIM),1996-1996,8,7.0,289.0,219.0,8.0,5/44,27.37,4.54,36.1,0.0,1.0,0.0
44,ACL Richards (WI),2007-2007,1,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0
32,AD Brown (ENG),1996-2001,16,1.0,6.0,5.0,0.0,-,0.0,5.0,0.0,0.0,0.0,0.0
15,AD Gaekwad (INDIA),1975-1987,15,1.0,48.0,39.0,1.0,1/39,39.0,4.87,48.0,0.0,0.0,0.0
44,AD Hales (ENG),2014-2019,70,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0
40,AD Mascarenhas (ENG),2007-2009,20,20.0,822.0,634.0,13.0,3/23,48.76,4.62,63.2,0.0,0.0,0.0
13,AD Mathews (SL),2008-2019,214,155.0,5083.0,3907.0,115.0,6/20,33.97,4.61,44.2,1.0,1.0,0.0
10,AD Mullally (ENG),1996-2001,50,49.0,2699.0,1728.0,63.0,4/18,27.42,3.84,42.8,2.0,0.0,0.0
12,AD Poynter (IRE),2008-2014,19,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0
29,AD Russell (WI),2011-2019,56,55.0,2290.0,2229.0,70.0,4/35,31.84,5.84,32.7,5.0,0.0,0.0
40,ADG Roberts (NZ),1976-1976,1,1.0,56.0,30.0,1.0,1/30,30.0,3.21,56.0,0.0,0.0,0.0
31,ADJ Pitcher (BMUDA),2007-2007,3,3.0,79.0,80.0,0.0,-,0.0,6.07,0.0,0.0,0.0,0.0
13,ADR Campbell (ZIM),1992-2003,188,30.0,509.0,434.0,12.0,2/20,36.16,5.11,42.4,0.0,0.0,0.0
14,ADS Fletcher (WI),2008-2016,25,3.0,28.0,26.0,0.0,-,0.0,5.57,0.0,0.0,0.0,0.0
31,AE Greenidge (WI),1978-1978,1,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0
13,AF Buurman (NL),2007-2011,17,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0
43,AF Giles (ENG),1997-2005,62,57.0,2856.0,2069.0,55.0,5/57,37.61,4.34,51.9,0.0,1.0,0.0
32,AF Milne (NZ),2012-2017,40,39.0,1801.0,1581.0,41.0,3/49,38.56,5.26,43.9,0.0,0.0,0.0
31,AF Sattaur (CAN),2003-2003,3,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0
32,AFG Griffith (WI),1996-2000,9,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0
6,AG Cremer (ZIM),2009-2018,96,95.0,4680.0,3597.0,119.0,6/46,30.22,4.61,39.3,4.0,3.0,0.0
0,AG Davies (SCOT),1999-1999,5,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0
16,AG Huckle (ZIM),1997-1999,19,18.0,858.0,661.0,7.0,2/27,94.42,4.62,122.5,0.0,0.0,0.0
22,AG Hurst (AUS),1975-1979,8,7.0,402.0,203.0,12.0,5/21,16.91,3.02,33.5,0.0,1.0,0.0
34,AG Prince (Afr/SA),2002-2007,52,1.0,12.0,3.0,0.0,-,0.0,1.5,0.0,0.0,0.0,0.0
17,AG Puttick (SA),2005-2005,1,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0
47,AG Wharf (ENG),2004-2005,13,13.0,584.0,428.0,18.0,4/24,23.77,4.39,32.4,1.0,0.0,0.0
